Age,City,Gender,Policy,Excess,Value,Premium
Young,Hamilton,Men,MAS Insurance Motor Vehicle Comprehensive,750,Agreed<sup>D</sup>,51.4
Young,Hamilton,Men,State Insurance Car Comprehensive,850,Agreed,59.23
Young,Hamilton,Men,The Cooperative Bank Asset Care Vehicle Standard,750,Agreed,50.68
Young,Hamilton,Men,Tower Comprehensive Car Insurance,1000,Agreed<sup>E</sup>,53.61
Young,Hamilton,Men,Trade Me Comprehensive Car Insurance<sup>B</sup>,1000,Agreed,49.43
Young,Hamilton,Men,TSB Motor Cover Insurance Comprehensive<sup>C</sup>,700,Agreed<sup>E</sup>,88.66
Young,Hamilton,Men,Warehouse Money Everyday Plus,1000,Agreed,63.48
Young,Hamilton,Men,Westpac Car Insurance Full Cover,850,Market,67.34
Young,Hamilton,Men,Youi Car Comprehensive,1800,Agreed,61.56
Young,Wellington,Men,AA Insurance Comprehensive,1050,Agreed,68.12
Young,Wellington,Men,AMI Insurance Comprehensive,650,Agreed,59.89
Young,Wellington,Men,AMP Everyday Plus,1000,Agreed,66.23
Young,Wellington,Men,ANZ Asset Protector Comprehensive Motor Vehicle<sup>A</sup>,1000,Agreed,83
Young,Wellington,Men,ASB Bank Private Motor Vehicle Comprehensive,750,Agreed,72.79
Young,Wellington,Men,BNZ PremierCare Motor Vehicle Insurance Supreme Cover,750,Agreed,59.43
Young,Wellington,Men,FMG Superior Private Vehicles,900,Market,61.41
Young,Wellington,Men,Lantern Insurance Echelon Full Cover,1000,Market,85.23
Young,Wellington,Men,MAS Insurance Motor Vehicle Comprehensive,750,Agreed<sup>D</sup>,45.78
Young,Wellington,Men,State Insurance Car Comprehensive,850,Agreed,55.64
Young,Wellington,Men,The Cooperative Bank Asset Care Vehicle Standard,750,Agreed,55.43
Young,Wellington,Men,Tower Comprehensive Car Insurance,1000,Agreed<sup>E</sup>,56.8
Young,Wellington,Men,Trade Me Comprehensive Car Insurance<sup>B</sup>,1000,Agreed,47.85
Young,Wellington,Men,TSB Motor Cover Insurance Comprehensive<sup>C</sup>,700,Agreed<sup>E</sup>,100.43
Young,Wellington,Men,Warehouse Money Everyday Plus,1000,Agreed,63.48
Young,Wellington,Men,Westpac Car Insurance Full Cover,850,Market,66.12
Young,Wellington,Men,Youi Car Comprehensive,1800,Agreed,51.45
Young,Christchurch,Men,AA Insurance Comprehensive,1050,Agreed,77.68
Young,Christchurch,Men,AMI Insurance Comprehensive,650,Agreed,63.21
Young,Christchurch,Men,AMP Everyday Plus,1000,Agreed,72.46
Young,Christchurch,Men,ANZ Asset Protector Comprehensive Motor Vehicle<sup>A</sup>,1000,Agreed,112
Young,Christchurch,Men,ASB Bank Private Motor Vehicle Comprehensive,750,Agreed,65.64
Young,Christchurch,Men,BNZ PremierCare Motor Vehicle Insurance Supreme Cover,750,Agreed,50.54
Young,Christchurch,Men,FMG Superior Private Vehicles,900,Market,63.17
Young,Christchurch,Men,Lantern Insurance Echelon Full Cover,1000,Market,74.68
Young,Christchurch,Men,MAS Insurance Motor Vehicle Comprehensive,750,Agreed<sup>D</sup>,47.43
Young,Christchurch,Men,State Insurance Car Comprehensive,850,Agreed,66.03
Young,Christchurch,Men,The Cooperative Bank Asset Care Vehicle Standard,750,Agreed,49.82
Young,Christchurch,Men,Tower Comprehensive Car Insurance,1000,Agreed<sup>E</sup>,63.18
Young,Christchurch,Men,Trade Me Comprehensive Car Insurance<sup>B</sup>,1000,Agreed,47.05
Young,Christchurch,Men,TSB Motor Cover Insurance Comprehensive<sup>C</sup>,700,Agreed<sup>E</sup>,100.43
Young,Christchurch,Men,Warehouse Money Everyday Plus,1000,Agreed,69.44
Young,Christchurch,Men,Westpac Car Insurance Full Cover,850,Market,64.76
Young,Christchurch,Men,Youi Car Comprehensive,1800,Agreed,71.79
Young,Dunedin,Men,AA Insurance Comprehensive,1050,Agreed,68.12
Young,Dunedin,Men,AMI Insurance Comprehensive,650,Agreed,58.83
Young,Dunedin,Men,AMP Everyday Plus,1000,Agreed,60.69
Young,Dunedin,Men,ANZ Asset Protector Comprehensive Motor Vehicle<sup>A</sup>,1000,Agreed,82
Young,Dunedin,Men,ASB Bank Private Motor Vehicle Comprehensive,750,Agreed,61.08
Young,Dunedin,Men,BNZ PremierCare Motor Vehicle Insurance Supreme Cover,750,Agreed,49.94
Young,Dunedin,Men,FMG Superior Private Vehicles,900,Market,50.52
Young,Dunedin,Men,Lantern Insurance Echelon Full Cover,1000,Market,74.68
Young,Dunedin,Men,MAS Insurance Motor Vehicle Comprehensive,750,Agreed<sup>D</sup>,43.77
Young,Dunedin,Men,State Insurance Car Comprehensive,850,Agreed,56.62
Young,Dunedin,Men,The Cooperative Bank Asset Care Vehicle Standard,750,Agreed,49.86
Young,Dunedin,Men,Tower Comprehensive Car Insurance,1000,Agreed<sup>E</sup>,57.33
Young,Dunedin,Men,Trade Me Comprehensive Car Insurance<sup>B</sup>,1000,Agreed,47.85
Young,Dunedin,Men,TSB Motor Cover Insurance Comprehensive<sup>C</sup>,700,Agreed<sup>E</sup>,74.18
Young,Dunedin,Men,Warehouse Money Everyday Plus,1000,Agreed,58.19
Young,Dunedin,Men,Westpac Car Insurance Full Cover,850,Market,57.14
Young,Dunedin,Men,Youi Car Comprehensive,1800,Agreed,49.36
Young,Auckland,Women,AA Insurance Comprehensive,1050,Agreed,81.73
Young,Auckland,Women,AMI Insurance Comprehensive,650,Agreed,66.73
Young,Auckland,Women,AMP Everyday Plus,1000,Agreed,109.74
Young,Auckland,Women,ANZ Asset Protector Comprehensive Motor Vehicle<sup>A</sup>,1000,Agreed,135
Young,Auckland,Women,ASB Bank Private Motor Vehicle Comprehensive,750,Agreed,66.66
Young,Auckland,Women,BNZ PremierCare Motor Vehicle Insurance Supreme Cover,750,Agreed,58.44
Young,Auckland,Women,FMG Superior Private Vehicles,900,Market,81.14
Young,Auckland,Women,Lantern Insurance Echelon Full Cover,800,Market,99.56
Young,Auckland,Women,MAS Insurance Motor Vehicle Comprehensive,750,Agreed<sup>D</sup>,60.42
Young,Auckland,Women,State Insurance Car Comprehensive,850,Agreed,67.82
Young,Auckland,Women,The Cooperative Bank Asset Care Vehicle Standard,750,Agreed,54.83
Young,Auckland,Women,Tower Comprehensive Car Insurance,1000,Agreed<sup>E</sup>,70.41
Young,Auckland,Women,Trade Me Comprehensive Car Insurance<sup>B</sup>,1000,Agreed,58.6
Young,Auckland,Women,TSB Motor Cover Insurance Comprehensive<sup>C</sup>,700,Agreed<sup>E</sup>,130.29
Young,Auckland,Women,Warehouse Money Everyday Plus,1000,Agreed,105.04
Young,Auckland,Women,Westpac Car Insurance Full Cover,850,Market,64.6
Young,Auckland,Women,Youi Car Comprehensive,1800,Agreed,59.28
Young,Hamilton,Women,AA Insurance Comprehensive,1050,Agreed,63.08
Young,Hamilton,Women,AMI Insurance Comprehensive,650,Agreed,56.27
Young,Hamilton,Women,AMP Everyday Plus,1000,Agreed,68.19
Young,Hamilton,Women,ANZ Asset Protector Comprehensive Motor Vehicle<sup>A</sup>,1000,Agreed,85
Young,Hamilton,Women,ASB Bank Private Motor Vehicle Comprehensive,750,Agreed,51.34
Young,Hamilton,Women,BNZ PremierCare Motor Vehicle Insurance Supreme Cover,750,Agreed,42.09
Young,Hamilton,Women,FMG Superior Private Vehicles,900,Market,51.55
Young,Hamilton,Women,Lantern Insurance Echelon Full Cover,800,Market,71.17
Young,Hamilton,Women,MAS Insurance Motor Vehicle Comprehensive,750,Agreed<sup>D</sup>,51.4
Young,Hamilton,Women,State Insurance Car Comprehensive,850,Agreed,55.64
Young,Hamilton,Women,The Cooperative Bank Asset Care Vehicle Standard,750,Agreed,38.65
Young,Hamilton,Women,Tower Comprehensive Car Insurance,1000,Agreed<sup>E</sup>,52.31
Young,Hamilton,Women,Trade Me Comprehensive Car Insurance<sup>B</sup>,1000,Agreed,44.52
Young,Hamilton,Women,TSB Motor Cover Insurance Comprehensive<sup>C</sup>,700,Agreed<sup>E</sup>,88.66
Young,Hamilton,Women,Warehouse Money Everyday Plus,1000,Agreed,65.36
Young,Hamilton,Women,Westpac Car Insurance Full Cover,850,Market,51.68
Young,Hamilton,Women,Youi Car Comprehensive,1800,Agreed,48.46
Young,Wellington,Women,AA Insurance Comprehensive,1050,Agreed,64.3
Young,Wellington,Women,AMI Insurance Comprehensive,650,Agreed,59.36
Young,Wellington,Women,AMP Everyday Plus,1000,Agreed,68.19
Young,Wellington,Women,ANZ Asset Protector Comprehensive Motor Vehicle<sup>A</sup>,1000,Agreed,79
Young,Wellington,Women,ASB Bank Private Motor Vehicle Comprehensive,750,Agreed,50.77
Young,Wellington,Women,BNZ PremierCare Motor Vehicle Insurance Supreme Cover,750,Agreed,44.36
Young,Wellington,Women,FMG Superior Private Vehicles,900,Market,61.41
Young,Wellington,Women,Lantern Insurance Echelon Full Cover,800,Market,71.17
Young,Wellington,Women,MAS Insurance Motor Vehicle Comprehensive,750,Agreed<sup>D</sup>,45.78
Young,Wellington,Women,State Insurance Car Comprehensive,850,Agreed,52.29
Young,Wellington,Women,The Cooperative Bank Asset Care Vehicle Standard,750,Agreed,42.12
Young,Wellington,Women,Tower Comprehensive Car Insurance,1000,Agreed<sup>E</sup>,55.42
Young,Wellington,Women,Trade Me Comprehensive Car Insurance<sup>B</sup>,1000,Agreed,43.11
Young,Wellington,Women,TSB Motor Cover Insurance Comprehensive<sup>C</sup>,700,Agreed<sup>E</sup>,100.43
Young,Wellington,Women,Warehouse Money Everyday Plus,1000,Agreed,65.36
Young,Wellington,Women,Westpac Car Insurance Full Cover,850,Market,50.74
Young,Wellington,Women,Youi Car Comprehensive,1800,Agreed,41.02
Young,Christchurch,Women,AA Insurance Comprehensive,1050,Agreed,69.05
Young,Christchurch,Women,AMI Insurance Comprehensive,650,Agreed,62.64
Young,Christchurch,Women,AMP Everyday Plus,1000,Agreed,74.67
Young,Christchurch,Women,ANZ Asset Protector Comprehensive Motor Vehicle<sup>A</sup>,1000,Agreed,106
Young,Christchurch,Women,ASB Bank Private Motor Vehicle Comprehensive,750,Agreed,46.02
Young,Christchurch,Women,BNZ PremierCare Motor Vehicle Insurance Supreme Cover,750,Agreed,38
Young,Christchurch,Women,FMG Superior Private Vehicles,900,Market,63.17
Young,Christchurch,Women,Lantern Insurance Echelon Full Cover,800,Market,62.53
Young,Christchurch,Women,MAS Insurance Motor Vehicle Comprehensive,750,Agreed<sup>D</sup>,47.43
Young,Christchurch,Women,State Insurance Car Comprehensive,850,Agreed,61.97
Young,Christchurch,Women,The Cooperative Bank Asset Care Vehicle Standard,750,Agreed,38.02
Young,Christchurch,Women,Tower Comprehensive Car Insurance,1000,Agreed<sup>E</sup>,61.62
Young,Christchurch,Women,Trade Me Comprehensive Car Insurance<sup>B</sup>,1000,Agreed,42.4
Young,Christchurch,Women,TSB Motor Cover Insurance Comprehensive<sup>C</sup>,700,Agreed<sup>E</sup>,100.43
Young,Christchurch,Women,Warehouse Money Everyday Plus,1000,Agreed,71.55
Young,Christchurch,Women,Westpac Car Insurance Full Cover,850,Market,49.69
Young,Christchurch,Women,Youi Car Comprehensive,1800,Agreed,56.46
Young,Dunedin,Women,AA Insurance Comprehensive,1050,Agreed,60.65
Young,Dunedin,Women,AMI Insurance Comprehensive,650,Agreed,58.31
Young,Dunedin,Women,AMP Everyday Plus,1000,Agreed,62.43
Young,Dunedin,Women,ANZ Asset Protector Comprehensive Motor Vehicle<sup>A</sup>,1000,Agreed,78
Young,Dunedin,Women,ASB Bank Private Motor Vehicle Comprehensive,750,Agreed,42.98
Young,Dunedin,Women,BNZ PremierCare Motor Vehicle Insurance Supreme Cover,750,Agreed,37.57
Young,Dunedin,Women,FMG Superior Private Vehicles,900,Market,50.52
Young,Dunedin,Women,Lantern Insurance Echelon Full Cover,800,Market,62.53
Young,Dunedin,Women,MAS Insurance Motor Vehicle Comprehensive,750,Agreed<sup>D</sup>,43.77
Young,Dunedin,Women,State Insurance Car Comprehensive,850,Agreed,53.22
Young,Dunedin,Women,The Cooperative Bank Asset Care Vehicle Standard,750,Agreed,38.05
Young,Dunedin,Women,Tower Comprehensive Car Insurance,1000,Agreed<sup>E</sup>,55.93
Young,Dunedin,Women,Trade Me Comprehensive Car Insurance<sup>B</sup>,1000,Agreed,43.11
Young,Dunedin,Women,TSB Motor Cover Insurance Comprehensive<sup>C</sup>,700,Agreed<sup>E</sup>,74.18
Young,Dunedin,Women,Warehouse Money Everyday Plus,1000,Agreed,59.86
Young,Dunedin,Women,Westpac Car Insurance Full Cover,850,Market,43.87
Young,Dunedin,Women,Youi Car Comprehensive,1800,Agreed,39.18
Middle,Auckland,Men,AA Insurance Comprehensive,500,Agreed,78.28
Middle,Auckland,Men,AMI Insurance Comprehensive,400,Agreed,87.48
Middle,Auckland,Men,AMP Everyday Plus,500,Agreed,91.47
Middle,Auckland,Men,ANZ Asset Protector Comprehensive Motor Vehicle<sup>A</sup>,500,Agreed,109
Middle,Auckland,Men,ASB Bank Private Motor Vehicle Comprehensive,400,Agreed,81.99
Middle,Auckland,Men,BNZ PremierCare Motor Vehicle Insurance Supreme Cover,400,Agreed,74.29
Middle,Auckland,Men,FMG Superior Private Vehicles,400,Market,74.68
Middle,Auckland,Men,Lantern Insurance Echelon Full Cover,400,Market,101.13
Middle,Auckland,Men,MAS Insurance Motor Vehicle Comprehensive,500,Agreed<sup>D</sup>,87.55
Middle,Auckland,Men,State Insurance Car Comprehensive,400,Agreed,75.7
Middle,Auckland,Men,The Cooperative Bank Asset Care Vehicle Comprehensive,400,Agreed,70.86
Middle,Auckland,Men,Tower Comprehensive Car Insurance,500,Agreed,55.92
Middle,Auckland,Men,Trade Me Comprehensive Car Insurance<sup>B</sup>,500,Agreed,59.24
Middle,Auckland,Men,TSB Motor Cover Insurance Comprehensive<sup>C</sup>,400,Agreed,100.65
Middle,Auckland,Men,Warehouse Money Everyday Plus,500,Agreed,87.6
Middle,Auckland,Men,Westpac Car Insurance Comprehensive,400,Market,62.03
Middle,Auckland,Men,Youi Car Comprehensive,600,Agreed,53.54
Middle,Hamilton,Men,AA Insurance Comprehensive,500,Agreed,60.48
Middle,Hamilton,Men,AMI Insurance Comprehensive,400,Agreed,73.52
Middle,Hamilton,Men,AMP Everyday Plus,500,Agreed,58.05
Middle,Hamilton,Men,ANZ Asset Protector Comprehensive Motor Vehicle<sup>A</sup>,500,Agreed,64
Middle,Hamilton,Men,ASB Bank Private Motor Vehicle Comprehensive,400,Agreed,62.72
Middle,Hamilton,Men,BNZ PremierCare Motor Vehicle Insurance Supreme Cover,400,Agreed,53.23
Middle,Hamilton,Men,FMG Superior Private Vehicles,400,Market,47.66
Middle,Hamilton,Men,Lantern Insurance Echelon Full Cover,400,Market,72.28
Middle,Hamilton,Men,MAS Insurance Motor Vehicle Comprehensive,500,Agreed<sup>D</sup>,74.43
Middle,Hamilton,Men,State Insurance Car Comprehensive,400,Agreed,61.97
Middle,Hamilton,Men,The Cooperative Bank Asset Care Vehicle Comprehensive,400,Agreed,49.65
Middle,Hamilton,Men,Tower Comprehensive Car Insurance,500,Agreed,41.88
Middle,Hamilton,Men,Trade Me Comprehensive Car Insurance<sup>B</sup>,500,Agreed,44.91
Middle,Hamilton,Men,TSB Motor Cover Insurance Comprehensive<sup>C</sup>,400,Agreed,68.56
Middle,Hamilton,Men,Warehouse Money Everyday Plus,500,Agreed,55.67
Middle,Hamilton,Men,Westpac Car Insurance Comprehensive,400,Market,49.69
Middle,Hamilton,Men,Youi Car Comprehensive,600,Agreed,44.63
Middle,Wellington,Men,AA Insurance Comprehensive,500,Agreed,61.65
Middle,Wellington,Men,AMI Insurance Comprehensive,400,Agreed,77.64
Middle,Wellington,Men,AMP Everyday Plus,500,Agreed,58.05
Middle,Wellington,Men,ANZ Asset Protector Comprehensive Motor Vehicle<sup>A</sup>,500,Agreed,66
Middle,Wellington,Men,ASB Bank Private Motor Vehicle Comprehensive,400,Agreed,62.01
Middle,Wellington,Men,BNZ PremierCare Motor Vehicle Insurance Supreme Cover,400,Agreed,56.14
Middle,Wellington,Men,FMG Superior Private Vehicles,400,Market,56.67
Middle,Wellington,Men,Lantern Insurance Echelon Full Cover,400,Market,72.28
Middle,Wellington,Men,MAS Insurance Motor Vehicle Comprehensive,500,Agreed<sup>D</sup>,66.25
Middle,Wellington,Men,State Insurance Car Comprehensive,400,Agreed,58.18
Middle,Wellington,Men,The Cooperative Bank Asset Care Vehicle Comprehensive,400,Agreed,54.19
Middle,Wellington,Men,Tower Comprehensive Car Insurance,500,Agreed,44.28
Middle,Wellington,Men,Trade Me Comprehensive Car Insurance<sup>B</sup>,500,Agreed,43.48
Middle,Wellington,Men,TSB Motor Cover Insurance Comprehensive<sup>C</sup>,400,Agreed,77.63
Middle,Wellington,Men,Warehouse Money Everyday Plus,500,Agreed,55.67
Middle,Wellington,Men,Westpac Car Insurance Comprehensive,400,Market,48.67
Middle,Wellington,Men,Youi Car Comprehensive,600,Agreed,37.75
Middle,Christchurch,Men,AA Insurance Comprehensive,500,Agreed,66.17
Middle,Christchurch,Men,AMI Insurance Comprehensive,400,Agreed,82.03
Middle,Christchurch,Men,AMP Everyday Plus,500,Agreed,63.26
Middle,Christchurch,Men,ANZ Asset Protector Comprehensive Motor Vehicle<sup>A</sup>,500,Agreed,80
Middle,Christchurch,Men,ASB Bank Private Motor Vehicle Comprehensive,400,Agreed,56.03
Middle,Christchurch,Men,BNZ PremierCare Motor Vehicle Insurance Supreme Cover,400,Agreed,47.96
Middle,Christchurch,Men,FMG Superior Private Vehicles,400,Market,58.77
Middle,Christchurch,Men,Lantern Insurance Echelon Full Cover,400,Market,63.47
Middle,Christchurch,Men,MAS Insurance Motor Vehicle Comprehensive,500,Agreed<sup>D</sup>,68.65
Middle,Christchurch,Men,State Insurance Car Comprehensive,400,Agreed,69.07
Middle,Christchurch,Men,The Cooperative Bank Asset Care Vehicle Comprehensive,400,Agreed,48.82
Middle,Christchurch,Men,Tower Comprehensive Car Insurance,500,Agreed,49.1
Middle,Christchurch,Men,Trade Me Comprehensive Car Insurance<sup>B</sup>,500,Agreed,42.76
Middle,Christchurch,Men,TSB Motor Cover Insurance Comprehensive<sup>C</sup>,400,Agreed,77.63
Middle,Christchurch,Men,Warehouse Money Everyday Plus,500,Agreed,60.65
Middle,Christchurch,Men,Westpac Car Insurance Comprehensive,400,Market,50.76
Middle,Christchurch,Men,Youi Car Comprehensive,600,Agreed,50.85
Middle,Dunedin,Men,AA Insurance Comprehensive,500,Agreed,58.16
Middle,Dunedin,Men,AMI Insurance Comprehensive,400,Agreed,76.24
Middle,Dunedin,Men,AMP Everyday Plus,500,Agreed,53.42
Middle,Dunedin,Men,ANZ Asset Protector Comprehensive Motor Vehicle<sup>A</sup>,500,Agreed,64
Middle,Dunedin,Men,ASB Bank Private Motor Vehicle Comprehensive,400,Agreed,52.22
Middle,Dunedin,Men,BNZ PremierCare Motor Vehicle Insurance Supreme Cover,400,Agreed,47.4
Middle,Dunedin,Men,FMG Superior Private Vehicles,400,Market,47.1
Middle,Dunedin,Men,Lantern Insurance Echelon Full Cover,400,Market,63.47
Middle,Dunedin,Men,MAS Insurance Motor Vehicle Comprehensive,500,Agreed<sup>D</sup>,63.32
Middle,Dunedin,Men,State Insurance Car Comprehensive,400,Agreed,59.23
Middle,Dunedin,Men,The Cooperative Bank Asset Care Vehicle Comprehensive,400,Agreed,48.86
Middle,Dunedin,Men,Tower Comprehensive Car Insurance,500,Agreed,44.68
Middle,Dunedin,Men,Trade Me Comprehensive Car Insurance<sup>B</sup>,500,Agreed,43.48
Middle,Dunedin,Men,TSB Motor Cover Insurance Comprehensive<sup>C</sup>,400,Agreed,57.39
Middle,Dunedin,Men,Warehouse Money Everyday Plus,500,Agreed,51.25
Middle,Dunedin,Men,Westpac Car Insurance Comprehensive,400,Market,43.92
Middle,Dunedin,Men,Youi Car Comprehensive,600,Agreed,36.39
Middle,Auckland,Women,AA Insurance Comprehensive,500,Agreed,80.63
Middle,Auckland,Women,AMI Insurance Comprehensive,400,Agreed,87.48
Middle,Auckland,Women,AMP Everyday Plus,500,Agreed,96.03
Middle,Auckland,Women,ANZ Asset Protector Comprehensive Motor Vehicle<sup>A</sup>,500,Agreed,115
Middle,Auckland,Women,ASB Bank Private Motor Vehicle Comprehensive,400,Agreed,85.3
Middle,Auckland,Women,BNZ PremierCare Motor Vehicle Insurance Supreme Cover,400,Agreed,78.88
Middle,Auckland,Women,FMG Superior Private Vehicles,400,Market,74.68
Middle,Auckland,Women,Lantern Insurance Echelon Full Cover,400,Market,101.13
Middle,Auckland,Women,MAS Insurance Motor Vehicle Comprehensive,500,Agreed<sup>D</sup>,87.55
Middle,Auckland,Women,State Insurance Car Comprehensive,400,Agreed,72.97
Middle,Auckland,Women,The Cooperative Bank Asset Care Vehicle Comprehensive,400,Agreed,72.47
Middle,Auckland,Women,Tower Comprehensive Car Insurance,500,Agreed,57.69
Middle,Auckland,Women,Trade Me Comprehensive Car Insurance<sup>B</sup>,500,Agreed,59.24
Middle,Auckland,Women,TSB Motor Cover Insurance Comprehensive<sup>C</sup>,400,Agreed,100.65
Middle,Auckland,Women,Warehouse Money Everyday Plus,500,Agreed,91.95
Middle,Auckland,Women,Westpac Car Insurance Comprehensive,400,Market,63.25
Middle,Auckland,Women,Youi Car Comprehensive,600,Agreed,49.46
Middle,Hamilton,Women,AA Insurance Comprehensive,500,Agreed,62.25
Middle,Hamilton,Women,AMI Insurance Comprehensive,400,Agreed,73.52
Middle,Hamilton,Women,AMP Everyday Plus,500,Agreed,60.58
Middle,Hamilton,Women,ANZ Asset Protector Comprehensive Motor Vehicle<sup>A</sup>,500,Agreed,68
Middle,Hamilton,Women,ASB Bank Private Motor Vehicle Comprehensive,400,Agreed,65.18
Middle,Hamilton,Women,BNZ PremierCare Motor Vehicle Insurance Supreme Cover,400,Agreed,56.37
Middle,Hamilton,Women,FMG Superior Private Vehicles,400,Market,47.66
Middle,Hamilton,Women,Lantern Insurance Echelon Full Cover,400,Market,72.28
Middle,Hamilton,Women,MAS Insurance Motor Vehicle Comprehensive,500,Agreed<sup>D</sup>,74.43
Middle,Hamilton,Women,State Insurance Car Comprehensive,400,Agreed,59.78
Middle,Hamilton,Women,The Cooperative Bank Asset Care Vehicle Comprehensive,400,Agreed,50.72
Middle,Hamilton,Women,Tower Comprehensive Car Insurance,500,Agreed,43.15
Middle,Hamilton,Women,Trade Me Comprehensive Car Insurance<sup>B</sup>,500,Agreed,44.91
Middle,Hamilton,Women,TSB Motor Cover Insurance Comprehensive<sup>C</sup>,400,Agreed,68.56
Middle,Hamilton,Women,Warehouse Money Everyday Plus,500,Agreed,58.09
Middle,Hamilton,Women,Westpac Car Insurance Comprehensive,400,Market,50.66
Middle,Hamilton,Women,Youi Car Comprehensive,600,Agreed,41.18
Middle,Wellington,Women,AA Insurance Comprehensive,500,Agreed,63.46
Middle,Wellington,Women,AMI Insurance Comprehensive,400,Agreed,77.64
Middle,Wellington,Women,AMP Everyday Plus,500,Agreed,60.58
Middle,Wellington,Women,ANZ Asset Protector Comprehensive Motor Vehicle<sup>A</sup>,500,Agreed,70
Middle,Wellington,Women,ASB Bank Private Motor Vehicle Comprehensive,400,Agreed,64.44
Middle,Wellington,Women,BNZ PremierCare Motor Vehicle Insurance Supreme Cover,400,Agreed,59.49
Middle,Wellington,Women,FMG Superior Private Vehicles,400,Market,56.67
Middle,Wellington,Women,Lantern Insurance Echelon Full Cover,400,Market,72.28
Middle,Wellington,Women,MAS Insurance Motor Vehicle Comprehensive,500,Agreed<sup>D</sup>,66.25
Middle,Wellington,Women,State Insurance Car Comprehensive,400,Agreed,56.15
Middle,Wellington,Women,The Cooperative Bank Asset Care Vehicle Comprehensive,400,Agreed,55.38
Middle,Wellington,Women,Tower Comprehensive Car Insurance,500,Agreed,45.64
Middle,Wellington,Women,Trade Me Comprehensive Car Insurance<sup>B</sup>,500,Agreed,43.48
Middle,Wellington,Women,TSB Motor Cover Insurance Comprehensive<sup>C</sup>,400,Agreed,77.63
Middle,Wellington,Women,Warehouse Money Everyday Plus,500,Agreed,58.09
Middle,Wellington,Women,Westpac Car Insurance Comprehensive,400,Market,49.62
Middle,Wellington,Women,Youi Car Comprehensive,600,Agreed,34.69
Middle,Christchurch,Women,AA Insurance Comprehensive,500,Agreed,68.13
Middle,Christchurch,Women,AMI Insurance Comprehensive,400,Agreed,82.03
Middle,Christchurch,Women,AMP Everyday Plus,500,Agreed,66.11
Middle,Christchurch,Women,ANZ Asset Protector Comprehensive Motor Vehicle<sup>A</sup>,500,Agreed,85
Middle,Christchurch,Women,ASB Bank Private Motor Vehicle Comprehensive,400,Agreed,58.19
Middle,Christchurch,Women,BNZ PremierCare Motor Vehicle Insurance Supreme Cover,400,Agreed,50.74
Middle,Christchurch,Women,FMG Superior Private Vehicles,400,Market,58.77
Middle,Christchurch,Women,Lantern Insurance Echelon Full Cover,400,Market,63.47
Middle,Christchurch,Women,MAS Insurance Motor Vehicle Comprehensive,500,Agreed<sup>D</sup>,68.65
Middle,Christchurch,Women,State Insurance Car Comprehensive,400,Agreed,66.61
Middle,Christchurch,Women,The Cooperative Bank Asset Care Vehicle Comprehensive,400,Agreed,49.88
Middle,Christchurch,Women,Tower Comprehensive Car Insurance,500,Agreed,50.62
Middle,Christchurch,Women,Trade Me Comprehensive Car Insurance<sup>B</sup>,500,Agreed,42.76
Middle,Christchurch,Women,TSB Motor Cover Insurance Comprehensive<sup>C</sup>,400,Agreed,77.63
Middle,Christchurch,Women,Warehouse Money Everyday Plus,500,Agreed,63.37
