Age,City,Gender,Policy,Excess,Value,Premium
Young,Hamilton,Men,MAS Insurance Motor Vehicle Third Party Fire and Theft,750,Agreed<sup>D</sup>,30.04
Young,Hamilton,Men,State Insurance Car Third Party Fire and Theft,850,Agreed,30.53
Young,Hamilton,Men,The Co-operative Bank Asset Care Vehicle Third Party Fire and Theft,750,Agreed,18.48
Young,Hamilton,Men,Tower Third Party Fire and Theft Cover,1000,Agreed<sup>E</sup>,32.16
Young,Hamilton,Men,Trade Me Your Third Party Car with Fire and Theft<sup>B</sup>,1000,Agreed,23.34
Young,Hamilton,Men,TSB Motor Vehicle Insurance Third Party Fire and Theft<sup>C</sup>,700,Agreed<sup>E</sup>,40.23
Young,Hamilton,Men,Warehouse Money Third Party Fire and Theft,1000,Market,36.8
Young,Hamilton,Men,Westpac Car Insurance Third Party Fire and Theft,850,Market,31.37
Young,Hamilton,Men,Youi Car Third Party Fire and Theft,1800,Market,32.12
Young,Wellington,Men,AA Insurance Third Party Fire and Theft Car Insurance,1050,Agreed,27.55
Young,Wellington,Men,AMI Insurance Car Insurance Third Party Fire and Theft,650,Agreed,22.68
Young,Wellington,Men,AMP Third Party Fire and Theft,1000,Market,39.48
Young,Wellington,Men,ASB Bank Private Motor Vehicle Third Party Fire and Theft,750,Agreed,28.11
Young,Wellington,Men,BNZ PremierCare Vehicle Insurance Third Party Fire and Theft,750,Agreed,21.93
Young,Wellington,Men,FMG Essential Private Vehicles Third Party Fire and Theft,900,Market,32.75
Young,Wellington,Men,Lantern Insurance Echelon Third Party Fire and Theft,1000,Market,27.72
Young,Wellington,Men,MAS Insurance Motor Vehicle Third Party Fire and Theft,750,Agreed<sup>D</sup>,26.79
Young,Wellington,Men,State Insurance Car Third Party Fire and Theft,850,Agreed,33.63
Young,Wellington,Men,The Co-operative Bank Asset Care Vehicle Third Party Fire and Theft,750,Agreed,19.69
Young,Wellington,Men,Tower Third Party Fire and Theft Cover,1000,Agreed<sup>E</sup>,33.23
Young,Wellington,Men,Trade Me Your Third Party Car with Fire and Theft<sup>B</sup>,1000,Agreed,22.52
Young,Wellington,Men,TSB Motor Vehicle Insurance Third Party Fire and Theft<sup>C</sup>,700,Agreed<sup>E</sup>,38.67
Young,Wellington,Men,Warehouse Money Third Party Fire and Theft,1000,Market,36.8
Young,Wellington,Men,Westpac Car Insurance Third Party Fire and Theft,850,Market,32.51
Young,Wellington,Men,Youi Car Third Party Fire and Theft,1800,Market,27.05
Young,Christchurch,Men,AA Insurance Third Party Fire and Theft Car Insurance,1050,Agreed,29.13
Young,Christchurch,Men,AMI Insurance Car Insurance Third Party Fire and Theft,650,Agreed,19.46
Young,Christchurch,Men,AMP Third Party Fire and Theft,1000,Market,42.18
Young,Christchurch,Men,ASB Bank Private Motor Vehicle Third Party Fire and Theft,750,Agreed,24.72
Young,Christchurch,Men,BNZ PremierCare Vehicle Insurance Third Party Fire and Theft,750,Agreed,19.61
Young,Christchurch,Men,FMG Essential Private Vehicles Third Party Fire and Theft,900,Market,32.81
Young,Christchurch,Men,Lantern Insurance Echelon Third Party Fire and Theft,1000,Market,27.72
Young,Christchurch,Men,MAS Insurance Motor Vehicle Third Party Fire and Theft,750,Agreed<sup>D</sup>,27.75
Young,Christchurch,Men,State Insurance Car Third Party Fire and Theft,850,Agreed,30.53
Young,Christchurch,Men,The Co-operative Bank Asset Care Vehicle Third Party Fire and Theft,750,Agreed,18.26
Young,Christchurch,Men,Tower Third Party Fire and Theft Cover,1000,Agreed<sup>E</sup>,36.43
Young,Christchurch,Men,Trade Me Your Third Party Car with Fire and Theft<sup>B</sup>,1000,Agreed,22.11
Young,Christchurch,Men,TSB Motor Vehicle Insurance Third Party Fire and Theft<sup>C</sup>,700,Agreed<sup>E</sup>,39.45
Young,Christchurch,Men,Warehouse Money Third Party Fire and Theft,1000,Market,39.07
Young,Christchurch,Men,Westpac Car Insurance Third Party Fire and Theft,850,Market,27.08
Young,Christchurch,Men,Youi Car Third Party Fire and Theft,1800,Market,37.58
Young,Dunedin,Men,AA Insurance Third Party Fire and Theft Car Insurance,1050,Agreed,24.45
Young,Dunedin,Men,AMI Insurance Car Insurance Third Party Fire and Theft,650,Agreed,17.53
Young,Dunedin,Men,AMP Third Party Fire and Theft,1000,Market,37.05
Young,Dunedin,Men,ASB Bank Private Motor Vehicle Third Party Fire and Theft,750,Agreed,24.56
Young,Dunedin,Men,BNZ PremierCare Vehicle Insurance Third Party Fire and Theft,750,Agreed,19.45
Young,Dunedin,Men,FMG Essential Private Vehicles Third Party Fire and Theft,900,Market,25.77
Young,Dunedin,Men,Lantern Insurance Echelon Third Party Fire and Theft,1000,Market,27.72
Young,Dunedin,Men,MAS Insurance Motor Vehicle Third Party Fire and Theft,750,Agreed<sup>D</sup>,25.63
Young,Dunedin,Men,State Insurance Car Third Party Fire and Theft,850,Agreed,29.64
Young,Dunedin,Men,The Co-operative Bank Asset Care Vehicle Third Party Fire and Theft,750,Agreed,18.27
Young,Dunedin,Men,Tower Third Party Fire and Theft Cover,1000,Agreed<sup>E</sup>,35.01
Young,Dunedin,Men,Trade Me Your Third Party Car with Fire and Theft<sup>B</sup>,1000,Agreed,22.52
Young,Dunedin,Men,TSB Motor Vehicle Insurance Third Party Fire and Theft<sup>C</sup>,700,Agreed<sup>E</sup>,32.44
Young,Dunedin,Men,Warehouse Money Third Party Fire and Theft,1000,Market,34.76
Young,Dunedin,Men,Westpac Car Insurance Third Party Fire and Theft,850,Market,29.57
Young,Dunedin,Men,Youi Car Third Party Fire and Theft,1800,Market,25.1
Young,Auckland,Women,AA Insurance Third Party Fire and Theft Car Insurance,1050,Agreed,35.52
Young,Auckland,Women,AMI Insurance Car Insurance Third Party Fire and Theft,650,Agreed,23.79
Young,Auckland,Women,AMP Third Party Fire and Theft,1000,Market,56.75
Young,Auckland,Women,ASB Bank Private Motor Vehicle Third Party Fire and Theft,750,Agreed,29.77
Young,Auckland,Women,BNZ PremierCare Vehicle Insurance Third Party Fire and Theft,750,Agreed,24.5
Young,Auckland,Women,FMG Essential Private Vehicles Third Party Fire and Theft,900,Market,42.9
Young,Auckland,Women,Lantern Insurance Echelon Third Party Fire and Theft,800,Market,35.54
Young,Auckland,Women,MAS Insurance Motor Vehicle Third Party Fire and Theft,750,Agreed<sup>D</sup>,35.25
Young,Auckland,Women,State Insurance Car Third Party Fire and Theft,850,Agreed,42.47
Young,Auckland,Women,The Co-operative Bank Asset Care Vehicle Third Party Fire and Theft,750,Agreed,22.08
Young,Auckland,Women,Tower Third Party Fire and Theft Cover,1000,Agreed<sup>E</sup>,46.18
Young,Auckland,Women,Trade Me Your Third Party Car with Fire and Theft<sup>B</sup>,1000,Agreed,28.07
Young,Auckland,Women,TSB Motor Vehicle Insurance Third Party Fire and Theft<sup>C</sup>,700,Agreed<sup>E</sup>,55.82
Young,Auckland,Women,Warehouse Money Third Party Fire and Theft,1000,Market,51.31
Young,Auckland,Women,Westpac Car Insurance Third Party Fire and Theft,850,Market,29.18
Young,Auckland,Women,Youi Car Third Party Fire and Theft,1800,Market,34.92
Young,Hamilton,Women,AA Insurance Third Party Fire and Theft Car Insurance,1050,Agreed,24.41
Young,Hamilton,Women,AMI Insurance Car Insurance Third Party Fire and Theft,650,Agreed,20.03
Young,Hamilton,Women,AMP Third Party Fire and Theft,1000,Market,39.48
Young,Hamilton,Women,ASB Bank Private Motor Vehicle Third Party Fire and Theft,750,Agreed,22.97
Young,Hamilton,Women,BNZ PremierCare Vehicle Insurance Third Party Fire and Theft,750,Agreed,17.39
Young,Hamilton,Women,FMG Essential Private Vehicles Third Party Fire and Theft,900,Market,27.67
Young,Hamilton,Women,Lantern Insurance Echelon Third Party Fire and Theft,800,Market,27.72
Young,Hamilton,Women,MAS Insurance Motor Vehicle Third Party Fire and Theft,750,Agreed<sup>D</sup>,30.04
Young,Hamilton,Women,State Insurance Car Third Party Fire and Theft,850,Agreed,29.07
Young,Hamilton,Women,The Co-operative Bank Asset Care Vehicle Third Party Fire and Theft,750,Agreed,15.56
Young,Hamilton,Women,Tower Third Party Fire and Theft Cover,1000,Agreed<sup>E</sup>,31.31
Young,Hamilton,Women,Trade Me Your Third Party Car with Fire and Theft<sup>B</sup>,1000,Agreed,20.8
Young,Hamilton,Women,TSB Motor Vehicle Insurance Third Party Fire and Theft<sup>C</sup>,700,Agreed<sup>E</sup>,40.23
Young,Hamilton,Women,Warehouse Money Third Party Fire and Theft,1000,Market,36.8
Young,Hamilton,Women,Westpac Car Insurance Third Party Fire and Theft,850,Market,24.2
Young,Hamilton,Women,Youi Car Third Party Fire and Theft,1800,Market,26.91
Young,Wellington,Women,AA Insurance Third Party Fire and Theft Car Insurance,1050,Agreed,25.06
Young,Wellington,Women,AMI Insurance Car Insurance Third Party Fire and Theft,650,Agreed,22.46
Young,Wellington,Women,AMP Third Party Fire and Theft,1000,Market,39.48
Young,Wellington,Women,ASB Bank Private Motor Vehicle Third Party Fire and Theft,750,Agreed,22.06
Young,Wellington,Women,BNZ PremierCare Vehicle Insurance Third Party Fire and Theft,750,Agreed,17.99
Young,Wellington,Women,FMG Essential Private Vehicles Third Party Fire and Theft,900,Market,32.75
Young,Wellington,Women,Lantern Insurance Echelon Third Party Fire and Theft,800,Market,27.72
Young,Wellington,Women,MAS Insurance Motor Vehicle Third Party Fire and Theft,750,Agreed<sup>D</sup>,26.79
Young,Wellington,Women,State Insurance Car Third Party Fire and Theft,850,Agreed,32.05
Young,Wellington,Women,The Co-operative Bank Asset Care Vehicle Third Party Fire and Theft,750,Agreed,16.3
Young,Wellington,Women,Tower Third Party Fire and Theft Cover,1000,Agreed<sup>E</sup>,32.35
Young,Wellington,Women,Trade Me Your Third Party Car with Fire and Theft<sup>B</sup>,1000,Agreed,20.08
Young,Wellington,Women,TSB Motor Vehicle Insurance Third Party Fire and Theft<sup>C</sup>,700,Agreed<sup>E</sup>,38.67
Young,Wellington,Women,Warehouse Money Third Party Fire and Theft,1000,Market,36.8
Young,Wellington,Women,Westpac Car Insurance Third Party Fire and Theft,850,Market,25.07
Young,Wellington,Women,Youi Car Third Party Fire and Theft,1800,Market,22.79
Young,Christchurch,Women,AA Insurance Third Party Fire and Theft Car Insurance,1050,Agreed,26.49
Young,Christchurch,Women,AMI Insurance Car Insurance Third Party Fire and Theft,650,Agreed,19.28
Young,Christchurch,Women,AMP Third Party Fire and Theft,1000,Market,42.18
Young,Christchurch,Women,ASB Bank Private Motor Vehicle Third Party Fire and Theft,750,Agreed,19.81
Young,Christchurch,Women,BNZ PremierCare Vehicle Insurance Third Party Fire and Theft,750,Agreed,17.03
Young,Christchurch,Women,FMG Essential Private Vehicles Third Party Fire and Theft,900,Market,32.81
Young,Christchurch,Women,Lantern Insurance Echelon Third Party Fire and Theft,800,Market,27.72
Young,Christchurch,Women,MAS Insurance Motor Vehicle Third Party Fire and Theft,750,Agreed<sup>D</sup>,27.75
Young,Christchurch,Women,State Insurance Car Third Party Fire and Theft,850,Agreed,29.07
Young,Christchurch,Women,The Co-operative Bank Asset Care Vehicle Third Party Fire and Theft,750,Agreed,15.56
Young,Christchurch,Women,Tower Third Party Fire and Theft Cover,1000,Agreed<sup>E</sup>,35.46
Young,Christchurch,Women,Trade Me Your Third Party Car with Fire and Theft<sup>B</sup>,1000,Agreed,19.71
Young,Christchurch,Women,TSB Motor Vehicle Insurance Third Party Fire and Theft<sup>C</sup>,700,Agreed<sup>E</sup>,39.45
Young,Christchurch,Women,Warehouse Money Third Party Fire and Theft,1000,Market,39.07
Young,Christchurch,Women,Westpac Car Insurance Third Party Fire and Theft,850,Market,20.92
Young,Christchurch,Women,Youi Car Third Party Fire and Theft,1800,Market,31.6
Young,Dunedin,Women,AA Insurance Third Party Fire and Theft Car Insurance,1050,Agreed,22.25
Young,Dunedin,Women,AMI Insurance Car Insurance Third Party Fire and Theft,650,Agreed,17.36
Young,Dunedin,Women,AMP Third Party Fire and Theft,1000,Market,37.05
Young,Dunedin,Women,ASB Bank Private Motor Vehicle Third Party Fire and Theft,750,Agreed,19.7
Young,Dunedin,Women,BNZ PremierCare Vehicle Insurance Third Party Fire and Theft,750,Agreed,17.03
Young,Dunedin,Women,FMG Essential Private Vehicles Third Party Fire and Theft,900,Market,25.77
Young,Dunedin,Women,Lantern Insurance Echelon Third Party Fire and Theft,800,Market,27.72
Young,Dunedin,Women,MAS Insurance Motor Vehicle Third Party Fire and Theft,750,Agreed<sup>D</sup>,25.63
Young,Dunedin,Women,State Insurance Car Third Party Fire and Theft,850,Agreed,28.25
Young,Dunedin,Women,The Co-operative Bank Asset Care Vehicle Third Party Fire and Theft,750,Agreed,15.56
Young,Dunedin,Women,Tower Third Party Fire and Theft Cover,1000,Agreed<sup>E</sup>,34.08
Young,Dunedin,Women,Trade Me Your Third Party Car with Fire and Theft<sup>B</sup>,1000,Agreed,20.08
Young,Dunedin,Women,TSB Motor Vehicle Insurance Third Party Fire and Theft<sup>C</sup>,700,Agreed<sup>E</sup>,32.44
Young,Dunedin,Women,Warehouse Money Third Party Fire and Theft,1000,Market,34.76
Young,Dunedin,Women,Westpac Car Insurance Third Party Fire and Theft,850,Market,22.82
Young,Dunedin,Women,Youi Car Third Party Fire and Theft,1800,Market,21.1
Middle,Auckland,Men,AA Insurance Third Party Fire and Theft Car Insurance,500,Agreed,37.34
Middle,Auckland,Men,AMI Insurance Car Insurance Third Party Fire and Theft,400,Agreed,30.58
Middle,Auckland,Men,AMP Third Party Fire and Theft,500,Market,43.01
Middle,Auckland,Men,ASB Bank Private Motor Vehicle Third Party Fire and Theft,400,Agreed,46.47
Middle,Auckland,Men,BNZ PremierCare Vehicle Insurance Third Party Fire and Theft,400,Agreed,38.86
Middle,Auckland,Men,FMG Essential Private Vehicles Third Party Fire and Theft,400,Market,48.52
Middle,Auckland,Men,Lantern Insurance Echelon Third Party Fire and Theft,400,Market,47.94
Middle,Auckland,Men,MAS Insurance Motor Vehicle Third Party Fire and Theft,500,Agreed<sup>D</sup>,47.1
Middle,Auckland,Men,State Insurance Car Third Party Fire and Theft,400,Agreed,47.76
Middle,Auckland,Men,The Co-operative Bank Asset Care Vehicle Third Party Fire and Theft,400,Agreed,34.64
Middle,Auckland,Men,Tower Third Party Fire and Theft Cover,500,Agreed,40.87
Middle,Auckland,Men,Trade Me Your Third Party Car with Fire and Theft<sup>B</sup>,500,Agreed,26.2
Middle,Auckland,Men,TSB Motor Vehicle Insurance Third Party Fire and Theft<sup>C</sup>,400,Agreed,37.89
Middle,Auckland,Men,Warehouse Money Third Party Fire and Theft,500,Market,41.61
Middle,Auckland,Men,Westpac Car Insurance Third Party Fire and Theft,400,Market,43.02
Middle,Hamilton,Men,AA Insurance Third Party Fire and Theft Car Insurance,500,Agreed,25.64
Middle,Hamilton,Men,AMI Insurance Car Insurance Third Party Fire and Theft,400,Agreed,25.7
Middle,Hamilton,Men,AMP Third Party Fire and Theft,500,Market,33.96
Middle,Hamilton,Men,ASB Bank Private Motor Vehicle Third Party Fire and Theft,400,Agreed,40.84
Middle,Hamilton,Men,BNZ PremierCare Vehicle Insurance Third Party Fire and Theft,400,Agreed,32.38
Middle,Hamilton,Men,FMG Essential Private Vehicles Third Party Fire and Theft,400,Market,31.39
Middle,Hamilton,Men,Lantern Insurance Echelon Third Party Fire and Theft,400,Market,40.11
Middle,Hamilton,Men,MAS Insurance Motor Vehicle Third Party Fire and Theft,500,Agreed<sup>D</sup>,40.1
Middle,Hamilton,Men,State Insurance Car Third Party Fire and Theft,400,Agreed,32.65
Middle,Hamilton,Men,The Co-operative Bank Asset Care Vehicle Third Party Fire and Theft,400,Agreed,28.45
Middle,Hamilton,Men,Tower Third Party Fire and Theft Cover,500,Agreed,27.75
Middle,Hamilton,Men,Trade Me Your Third Party Car with Fire and Theft<sup>B</sup>,500,Agreed,19.43
Middle,Hamilton,Men,TSB Motor Vehicle Insurance Third Party Fire and Theft<sup>C</sup>,400,Agreed,27.39
Middle,Hamilton,Men,Warehouse Money Third Party Fire and Theft,500,Market,34.02
Middle,Hamilton,Men,Westpac Car Insurance Third Party Fire and Theft,400,Market,34.67
Middle,Wellington,Men,AA Insurance Third Party Fire and Theft Car Insurance,500,Agreed,26.33
Middle,Wellington,Men,AMI Insurance Car Insurance Third Party Fire and Theft,400,Agreed,28.86
Middle,Wellington,Men,AMP Third Party Fire and Theft,500,Market,33.96
Middle,Wellington,Men,ASB Bank Private Motor Vehicle Third Party Fire and Theft,400,Agreed,40.09
Middle,Wellington,Men,BNZ PremierCare Vehicle Insurance Third Party Fire and Theft,400,Agreed,32.92
Middle,Wellington,Men,FMG Essential Private Vehicles Third Party Fire and Theft,400,Market,37.1
Middle,Wellington,Men,Lantern Insurance Echelon Third Party Fire and Theft,400,Market,40.11
Middle,Wellington,Men,MAS Insurance Motor Vehicle Third Party Fire and Theft,500,Agreed<sup>D</sup>,35.73
Middle,Wellington,Men,State Insurance Car Third Party Fire and Theft,400,Agreed,36.01
Middle,Wellington,Men,The Co-operative Bank Asset Care Vehicle Third Party Fire and Theft,400,Agreed,29.28
Middle,Wellington,Men,Tower Third Party Fire and Theft Cover,500,Agreed,28.66
Middle,Wellington,Men,Trade Me Your Third Party Car with Fire and Theft<sup>B</sup>,500,Agreed,18.76
Middle,Wellington,Men,TSB Motor Vehicle Insurance Third Party Fire and Theft<sup>C</sup>,400,Agreed,26.34
Middle,Wellington,Men,Warehouse Money Third Party Fire and Theft,500,Market,34.02
Middle,Wellington,Men,Westpac Car Insurance Third Party Fire and Theft,400,Market,36.01
Middle,Christchurch,Men,AA Insurance Third Party Fire and Theft Car Insurance,500,Agreed,27.84
Middle,Christchurch,Men,AMI Insurance Car Insurance Third Party Fire and Theft,400,Agreed,24.73
Middle,Christchurch,Men,AMP Third Party Fire and Theft,500,Market,35.31
Middle,Christchurch,Men,ASB Bank Private Motor Vehicle Third Party Fire and Theft,400,Agreed,38.22
Middle,Christchurch,Men,BNZ PremierCare Vehicle Insurance Third Party Fire and Theft,400,Agreed,31.4
Middle,Christchurch,Men,FMG Essential Private Vehicles Third Party Fire and Theft,400,Market,37.17
Middle,Christchurch,Men,Lantern Insurance Echelon Third Party Fire and Theft,400,Market,40.11
Middle,Christchurch,Men,MAS Insurance Motor Vehicle Third Party Fire and Theft,500,Agreed<sup>D</sup>,37.02
Middle,Christchurch,Men,State Insurance Car Third Party Fire and Theft,400,Agreed,32.65
Middle,Christchurch,Men,The Co-operative Bank Asset Care Vehicle Third Party Fire and Theft,400,Agreed,28.3
Middle,Christchurch,Men,Tower Third Party Fire and Theft Cover,500,Agreed,31.41
Middle,Christchurch,Men,Trade Me Your Third Party Car with Fire and Theft<sup>B</sup>,500,Agreed,18.42
Middle,Christchurch,Men,TSB Motor Vehicle Insurance Third Party Fire and Theft<sup>C</sup>,400,Agreed,26.87
Middle,Christchurch,Men,Warehouse Money Third Party Fire and Theft,500,Market,35.15
Middle,Christchurch,Men,Westpac Car Insurance Third Party Fire and Theft,400,Market,28.13
Middle,Dunedin,Men,AA Insurance Third Party Fire and Theft Car Insurance,500,Agreed,23.37
Middle,Dunedin,Men,AMI Insurance Car Insurance Third Party Fire and Theft,400,Agreed,22.25
Middle,Dunedin,Men,AMP Third Party Fire and Theft,500,Market,32.75
Middle,Dunedin,Men,ASB Bank Private Motor Vehicle Third Party Fire and Theft,400,Agreed,38.13
Middle,Dunedin,Men,BNZ PremierCare Vehicle Insurance Third Party Fire and Theft,400,Agreed,31.3
Middle,Dunedin,Men,FMG Essential Private Vehicles Third Party Fire and Theft,400,Market,29.24
Middle,Dunedin,Men,Lantern Insurance Echelon Third Party Fire and Theft,400,Market,40.11
Middle,Dunedin,Men,MAS Insurance Motor Vehicle Third Party Fire and Theft,500,Agreed<sup>D</sup>,34.17
Middle,Dunedin,Men,State Insurance Car Third Party Fire and Theft,400,Agreed,31.73
Middle,Dunedin,Men,The Co-operative Bank Asset Care Vehicle Third Party Fire and Theft,400,Agreed,28.31
Middle,Dunedin,Men,Tower Third Party Fire and Theft Cover,500,Agreed,30.19
Middle,Dunedin,Men,Trade Me Your Third Party Car with Fire and Theft<sup>B</sup>,500,Agreed,18.76
Middle,Dunedin,Men,TSB Motor Vehicle Insurance Third Party Fire and Theft<sup>C</sup>,400,Agreed,22.14
Middle,Dunedin,Men,Warehouse Money Third Party Fire and Theft,500,Market,33
Middle,Dunedin,Men,Westpac Car Insurance Third Party Fire and Theft,400,Market,30.67
Middle,Auckland,Women,AA Insurance Third Party Fire and Theft Car Insurance,500,Agreed,36.98
Middle,Auckland,Women,AMI Insurance Car Insurance Third Party Fire and Theft,400,Agreed,30
Middle,Auckland,Women,AMP Third Party Fire and Theft,500,Market,43.01
Middle,Auckland,Women,ASB Bank Private Motor Vehicle Third Party Fire and Theft,400,Agreed,47.17
Middle,Auckland,Women,BNZ PremierCare Vehicle Insurance Third Party Fire and Theft,400,Agreed,39.88
Middle,Auckland,Women,FMG Essential Private Vehicles Third Party Fire and Theft,400,Market,48.52
Middle,Auckland,Women,Lantern Insurance Echelon Third Party Fire and Theft,400,Market,47.94
Middle,Auckland,Women,MAS Insurance Motor Vehicle Third Party Fire and Theft,500,Agreed<sup>D</sup>,47.1
Middle,Auckland,Women,State Insurance Car Third Party Fire and Theft,400,Agreed,45.48
Middle,Auckland,Women,The Co-operative Bank Asset Care Vehicle Third Party Fire and Theft,400,Agreed,34.99
Middle,Auckland,Women,Tower Third Party Fire and Theft Cover,500,Agreed,42.28
Middle,Auckland,Women,Trade Me Your Third Party Car with Fire and Theft<sup>B</sup>,500,Agreed,26.2
Middle,Auckland,Women,TSB Motor Vehicle Insurance Third Party Fire and Theft<sup>C</sup>,400,Agreed,37.89
Middle,Auckland,Women,Warehouse Money Third Party Fire and Theft,500,Market,41.61
Middle,Auckland,Women,Westpac Car Insurance Third Party Fire and Theft,400,Market,43.86
Middle,Hamilton,Women,AA Insurance Third Party Fire and Theft Car Insurance,500,Agreed,25.4
Middle,Hamilton,Women,AMI Insurance Car Insurance Third Party Fire and Theft,400,Agreed,25.21
Middle,Hamilton,Women,AMP Third Party Fire and Theft,500,Market,33.96
Middle,Hamilton,Women,ASB Bank Private Motor Vehicle Third Party Fire and Theft,400,Agreed,41.3
Middle,Hamilton,Women,BNZ PremierCare Vehicle Insurance Third Party Fire and Theft,400,Agreed,32.96
Middle,Hamilton,Women,FMG Essential Private Vehicles Third Party Fire and Theft,400,Market,31.39
Middle,Hamilton,Women,Lantern Insurance Echelon Third Party Fire and Theft,400,Market,40.11
Middle,Hamilton,Women,MAS Insurance Motor Vehicle Third Party Fire and Theft,500,Agreed<sup>D</sup>,40.1
Middle,Hamilton,Women,State Insurance Car Third Party Fire and Theft,400,Agreed,31.13
Middle,Hamilton,Women,The Co-operative Bank Asset Care Vehicle Third Party Fire and Theft,400,Agreed,28.65
Middle,Hamilton,Women,Tower Third Party Fire and Theft Cover,500,Agreed,28.69
Middle,Hamilton,Women,Trade Me Your Third Party Car with Fire and Theft<sup>B</sup>,500,Agreed,19.43
Middle,Hamilton,Women,TSB Motor Vehicle Insurance Third Party Fire and Theft<sup>C</sup>,400,Agreed,27.39
Middle,Hamilton,Women,Warehouse Money Third Party Fire and Theft,500,Market,34.02
Middle,Hamilton,Women,Westpac Car Insurance Third Party Fire and Theft,400,Market,35.34
Middle,Wellington,Women,AA Insurance Third Party Fire and Theft Car Insurance,500,Agreed,26.08
Middle,Wellington,Women,AMI Insurance Car Insurance Third Party Fire and Theft,400,Agreed,28.3
Middle,Wellington,Women,AMP Third Party Fire and Theft,500,Market,33.96
Middle,Wellington,Women,ASB Bank Private Motor Vehicle Third Party Fire and Theft,400,Agreed,40.52
Middle,Wellington,Women,BNZ PremierCare Vehicle Insurance Third Party Fire and Theft,400,Agreed,33.55
Middle,Wellington,Women,FMG Essential Private Vehicles Third Party Fire and Theft,400,Market,37.1
Middle,Wellington,Women,Lantern Insurance Echelon Third Party Fire and Theft,400,Market,40.11
Middle,Wellington,Women,MAS Insurance Motor Vehicle Third Party Fire and Theft,500,Agreed<sup>D</sup>,35.73
Middle,Wellington,Women,State Insurance Car Third Party Fire and Theft,400,Agreed,34.3
Middle,Wellington,Women,The Co-operative Bank Asset Care Vehicle Third Party Fire and Theft,400,Agreed,29.49
Middle,Wellington,Women,Tower Third Party Fire and Theft Cover,500,Agreed,29.64
Middle,Wellington,Women,Trade Me Your Third Party Car with Fire and Theft<sup>B</sup>,500,Agreed,18.76
Middle,Wellington,Women,TSB Motor Vehicle Insurance Third Party Fire and Theft<sup>C</sup>,400,Agreed,26.34
Middle,Wellington,Women,Warehouse Money Third Party Fire and Theft,500,Market,34.02
Middle,Wellington,Women,Westpac Car Insurance Third Party Fire and Theft,400,Market,36.71
Middle,Christchurch,Women,AA Insurance Third Party Fire and Theft Car Insurance,500,Agreed,27.57
Middle,Christchurch,Women,AMI Insurance Car Insurance Third Party Fire and Theft,400,Agreed,24.26
Middle,Christchurch,Women,AMP Third Party Fire and Theft,500,Market,35.31
Middle,Christchurch,Women,ASB Bank Private Motor Vehicle Third Party Fire and Theft,400,Agreed,38.57
Middle,Christchurch,Women,BNZ PremierCare Vehicle Insurance Third Party Fire and Theft,400,Agreed,31.91
Middle,Christchurch,Women,FMG Essential Private Vehicles Third Party Fire and Theft,400,Market,37.17
Middle,Christchurch,Women,Lantern Insurance Echelon Third Party Fire and Theft,400,Market,40.11
Middle,Christchurch,Women,MAS Insurance Motor Vehicle Third Party Fire and Theft,500,Agreed<sup>D</sup>,37.02
